review_id,product_id,customer_id,rating,title,comment,is_verified_purchase,helpful_votes,created_at
1,11,159,3,Cumple expectativas,Comentario del cliente sobre el producto...,false,45,2024-03-15
2,46,33,4,Cumple expectativas,Comentario del cliente sobre el producto...,false,7,2024-07-20
3,9,72,5,No lo recomiendo,Comentario del cliente sobre el producto...,true,24,2025-04-26
4,16,99,4,Muy bueno,Comentario del cliente sobre el producto...,true,28,2025-06-18
5,23,78,4,Cumple expectativas,Comentario del cliente sobre el producto...,true,13,2025-11-27
6,71,11,3,No lo recomiendo,Comentario del cliente sobre el producto...,true,24,2023-09-20
7,39,142,5,Regular,Comentario del cliente sobre el producto...,false,50,2025-06-21
8,67,162,1,No lo recomiendo,Comentario del cliente sobre el producto...,true,28,2023-02-25
9,57,124,1,Excelente producto,Comentario del cliente sobre el producto...,true,25,2024-10-26
10,88,15,2,No lo recomiendo,Comentario del cliente sobre el producto...,true,3,2023-05-11
11,65,150,3,Cumple expectativas,Comentario del cliente sobre el producto...,true,9,2023-04-29
12,5,87,2,Cumple expectativas,Comentario del cliente sobre el producto...,true,26,2023-08-20
13,27,11,2,Regular,Comentario del cliente sobre el producto...,false,24,2025-05-26
14,30,83,1,Excelente producto,Comentario del cliente sobre el producto...,true,17,2025-03-11
15,47,57,2,No lo recomiendo,Comentario del cliente sobre el producto...,true,43,2023-11-04
16,24,38,5,Muy bueno,Comentario del cliente sobre el producto...,true,43,2024-04-26
17,52,47,3,Excelente producto,Comentario del cliente sobre el producto...,true,16,2025-11-03
18,38,38,2,Regular,Comentario del cliente sobre el producto...,false,6,2025-11-03
19,49,136,3,Regular,Comentario del cliente sobre el producto...,true,0,2024-06-21
20,2,56,5,No lo recomiendo,Comentario del cliente sobre el producto...,true,14,2023-11-07
21,67,90,3,Excelente producto,Comentario del cliente sobre el producto...,false,17,2023-12-09
22,31,38,4,Regular,Comentario del cliente sobre el producto...,true,47,2023-02-04
23,46,37,2,Muy bueno,Comentario del cliente sobre el producto...,true,30,2024-03-28
24,43,4,1,Regular,Comentario del cliente sobre el producto...,true,14,2024-06-03
25,26,91,4,Excelente producto,Comentario del cliente sobre el producto...,false,10,2023-01-31
26,53,92,5,Muy bueno,Comentario del cliente sobre el producto...,true,3,2024-05-12
27,66,104,2,Regular,Comentario del cliente sobre el producto...,false,6,2025-11-08
28,87,141,1,Muy bueno,Comentario del cliente sobre el producto...,true,20,2025-11-12
29,81,121,4,Regular,Comentario del cliente sobre el producto...,true,23,2024-10-18
30,69,93,4,Cumple expectativas,Comentario del cliente sobre el producto...,false,41,2024-03-25
31,23,117,5,No lo recomiendo,Comentario del cliente sobre el producto...,true,37,2024-07-31
32,56,61,4,No lo recomiendo,Comentario del cliente sobre el producto...,true,47,2025-03-01
33,42,144,5,Cumple expectativas,Comentario del cliente sobre el producto...,false,1,2023-08-08
34,2,58,5,Regular,Comentario del cliente sobre el producto...,false,50,2025-11-11
35,29,52,1,Muy bueno,Comentario del cliente sobre el producto...,false,18,2025-04-25
36,96,124,1,Excelente producto,Comentario del cliente sobre el producto...,false,11,2023-02-23
37,91,153,3,Regular,Comentario del cliente sobre el producto...,false,39,2024-01-13
38,40,49,3,Excelente producto,Comentario del cliente sobre el producto...,false,23,2023-01-04
39,37,37,4,Muy bueno,Comentario del cliente sobre el producto...,true,23,2023-02-03
40,78,40,1,No lo recomiendo,Comentario del cliente sobre el producto...,true,40,2024-12-30
41,56,142,2,Cumple expectativas,Comentario del cliente sobre el producto...,true,15,2023-06-22
42,66,142,4,Excelente producto,Comentario del cliente sobre el producto...,true,49,2025-10-21
43,70,110,1,Muy bueno,Comentario del cliente sobre el producto...,false,20,2023-01-03
44,32,148,3,Cumple expectativas,Comentario del cliente sobre el producto...,true,0,2023-05-20
45,36,59,3,Regular,Comentario del cliente sobre el producto...,true,39,2023-10-02
46,91,55,5,Muy bueno,Comentario del cliente sobre el producto...,false,14,2025-11-18
47,50,165,5,Regular,Comentario del cliente sobre el producto...,false,31,2025-08-06
48,39,49,4,Cumple expectativas,Comentario del cliente sobre el producto...,false,20,2023-06-03
49,24,89,1,No lo recomiendo,Comentario del cliente sobre el producto...,false,30,2024-04-01
50,10,126,4,Excelente producto,Comentario del cliente sobre el producto...,true,8,2024-07-04
51,39,159,3,Muy bueno,Comentario del cliente sobre el producto...,true,8,2023-01-13
52,85,36,4,Muy bueno,Comentario del cliente sobre el producto...,true,4,2024-08-30
53,71,71,1,Regular,Comentario del cliente sobre el producto...,false,48,2024-05-28
54,46,100,3,Cumple expectativas,Comentario del cliente sobre el producto...,true,39,2025-02-28
55,61,111,5,Regular,Comentario del cliente sobre el producto...,true,29,2023-12-08
56,73,95,4,No lo recomiendo,Comentario del cliente sobre el producto...,true,32,2025-05-27
57,90,127,5,No lo recomiendo,Comentario del cliente sobre el producto...,true,24,2024-03-21
