product_id,sku,product_name,description,category_id,brand_id,supplier_id,price,cost,weight_kg,is_active,created_at,updated_at
1,SKU-000001,Ultra Set 1,Descripción detallada del producto 1,10,15,5,460.98,221.27,6.2,true,2023-11-14,2025-09-18
2,SKU-000002,Elite Device 2,Descripción detallada del producto 2,4,12,8,299.15,128.63,7.9,true,2022-03-06,2024-02-23
3,SKU-000003,Mega Item 3,Descripción detallada del producto 3,9,6,3,423,211.5,30.7,true,2023-02-13,2024-11-16
4,SKU-000004,Max Gear 4,Descripción detallada del producto 4,4,1,4,477.38,272.11,12.6,true,2023-09-02,2025-07-17
5,SKU-000005,Elite Item 5,Descripción detallada del producto 5,8,1,5,312.88,209.63,35.8,true,2023-04-02,2025-08-19
6,SKU-000006,Super Gear 6,Descripción detallada del producto 6,7,4,1,469.57,281.74,7.6,true,2022-05-24,2024-08-30
7,SKU-000007,Max Gadget 7,Descripción detallada del producto 7,8,9,1,15.3,6.73,25.9,true,2023-08-29,2024-02-04
8,SKU-000008,Premium Device 8,Descripción detallada del producto 8,8,13,7,179.58,80.81,2.7,true,2022-10-24,2024-09-12
9,SKU-000009,Ultra Device 9,Descripción detallada del producto 9,8,1,8,249.5,159.68,14.6,true,2023-06-20,2024-09-23
10,SKU-000010,Premium Set 10,Descripción detallada del producto 10,2,2,2,353.96,212.38,42.8,true,2023-01-23,2024-10-06
11,SKU-000011,Max Gear 11,Descripción detallada del producto 11,10,15,7,136.77,91.64,2.8,true,2022-10-04,2024-04-08
12,SKU-000012,Smart Item 12,Descripción detallada del producto 12,7,12,4,123.15,65.27,18.8,true,2023-07-10,2025-07-24
13,SKU-000013,Max Device 13,Descripción detallada del producto 13,2,13,5,186.92,115.89,19.6,true,2022-08-28,2025-10-01
14,SKU-000014,Mini Device 14,Descripción detallada del producto 14,7,15,4,103.82,63.33,45.6,true,2022-12-23,2024-05-04
15,SKU-000015,Basic Set 15,Descripción detallada del producto 15,4,4,4,289.6,139.01,32,true,2022-09-10,2024-01-26
16,SKU-000016,Max Widget 16,Descripción detallada del producto 16,3,4,1,61.32,29.43,5.7,true,2022-09-23,2025-10-19
17,SKU-000017,Mini Kit 17,Descripción detallada del producto 17,4,11,2,477.99,253.33,35.4,true,2023-10-29,2025-09-25
18,SKU-000018,Super Gear 18,Descripción detallada del producto 18,9,6,7,498.42,294.07,10.3,true,2023-09-25,2025-10-10
19,SKU-000019,Basic Kit 19,Descripción detallada del producto 19,9,5,5,192.13,117.2,16.7,true,2022-01-29,2025-09-01
20,SKU-000020,Mega Item 20,Descripción detallada del producto 20,7,11,6,323.14,145.41,11.4,false,2023-12-08,2024-05-27
21,SKU-000021,Max Device 21,Descripción detallada del producto 21,10,1,3,42.41,19.93,3,false,2022-11-03,2025-11-12
22,SKU-000022,Ultra Device 22,Descripción detallada del producto 22,3,10,7,121.79,84.04,11.8,true,2022-12-11,2025-02-17
23,SKU-000023,Smart Set 23,Descripción detallada del producto 23,9,10,7,60.56,29.67,48,true,2023-01-14,2025-03-29
24,SKU-000024,Pro Device 24,Descripción detallada del producto 24,3,11,5,429.47,219.03,27.1,true,2022-07-02,2024-09-21
25,SKU-000025,Smart Pack 25,Descripción detallada del producto 25,4,7,8,13.82,5.67,27.2,true,2022-11-17,2024-03-07
26,SKU-000026,Elite Gear 26,Descripción detallada del producto 26,4,4,5,470.46,216.41,16.7,true,2023-02-09,2025-04-19
27,SKU-000027,Mega Gear 27,Descripción detallada del producto 27,8,7,7,138.5,80.33,37.1,true,2022-04-17,2024-12-09
28,SKU-000028,Max Kit 28,Descripción detallada del producto 28,1,3,2,29.83,19.99,12.3,true,2023-10-24,2024-07-15
29,SKU-000029,Mini Device 29,Descripción detallada del producto 29,1,11,7,98.72,54.3,14.8,true,2022-11-05,2024-02-16
30,SKU-000030,Premium Set 30,Descripción detallada del producto 30,4,15,1,124.74,49.9,38.1,true,2022-05-19,2025-10-26
31,SKU-000031,Smart Gear 31,Descripción detallada del producto 31,3,8,7,64.29,33.43,24.5,true,2022-12-16,2025-04-23
32,SKU-000032,Basic Pack 32,Descripción detallada del producto 32,4,1,4,479.13,263.52,45.8,true,2023-10-09,2024-06-19
33,SKU-000033,Max Kit 33,Descripción detallada del producto 33,7,12,5,84.83,52.59,3,true,2022-05-15,2024-01-23
